Pricing Date,823 | Share Price (Daily)(HK$),823 | Volume (Daily)
10/14/2022,51.5,4914081
10/15/2022,,
10/16/2022,,
10/17/2022,51.9,3196657
10/18/2022,52.6,3918867
10/19/2022,51.6,3502817
10/20/2022,51,4866256
10/21/2022,48.6,10340580
10/22/2022,,
10/23/2022,,
10/24/2022,47.8,8814345
10/25/2022,47.15,6790477
10/26/2022,48.1,6039716
10/27/2022,47.9,5455766
10/28/2022,48.45,6401098
10/29/2022,,
10/30/2022,,
10/31/2022,46.4,8361988
11/1/2022,47.9,10310190
11/2/2022,49.3,6026983
11/3/2022,48.8,4104315
11/4/2022,49.8,6368113
11/5/2022,,
11/6/2022,,
11/7/2022,51.75,9763826
11/8/2022,51.85,6837988
11/9/2022,49.8,8202007
11/10/2022,50.95,4645627
11/11/2022,54.45,11257070
11/12/2022,,
11/13/2022,,
11/14/2022,55,16160670
11/15/2022,56.5,8341622
11/16/2022,56.1,9007107
11/17/2022,55.75,5096194
11/18/2022,55.1,5972196
11/19/2022,,
11/20/2022,,
11/21/2022,53.3,3270194
11/22/2022,53.15,3218111
11/23/2022,50.65,13540660
11/24/2022,51.6,6405089
11/25/2022,51.85,3583512
11/26/2022,,
11/27/2022,,
11/28/2022,50.95,9090958
11/29/2022,52.6,8837667
11/30/2022,52.5,8696783
12/1/2022,53.3,10852650
12/2/2022,52,6740561
12/3/2022,,
12/4/2022,,
12/5/2022,52.6,6475497
12/6/2022,53.15,5242863
12/7/2022,52.5,5403354
12/8/2022,54.4,8965637
12/9/2022,55.5,14649720
12/10/2022,,
12/11/2022,,
12/12/2022,55.4,7664391
12/13/2022,57.55,11648230
12/14/2022,56.9,9187244
12/15/2022,55.75,7915967
12/16/2022,55.65,8210349
12/17/2022,,
12/18/2022,,
12/19/2022,55.35,3152585
12/20/2022,55,4632015
12/21/2022,55.15,2579893
12/22/2022,56.35,5422171
12/23/2022,56.25,2487755
12/24/2022,,
12/25/2022,,
12/26/2022,,
12/27/2022,,
12/28/2022,56.6,4823149
12/29/2022,56.8,4899888
12/30/2022,57.3,2876042
12/31/2022,,
1/1/2023,,
1/2/2023,,
1/3/2023,58.2,6265654
1/4/2023,60,9707158
1/5/2023,60.85,10437730
1/6/2023,59.05,6187730
1/7/2023,,
1/8/2023,,
1/9/2023,59.2,6799316
1/10/2023,59.95,8451555
1/11/2023,59.45,7322642
1/12/2023,61.2,7502066
1/13/2023,61.45,3694315
1/14/2023,,
1/15/2023,,
1/16/2023,63.1,8874475
1/17/2023,62.8,6706185
1/18/2023,62.55,3047271
1/19/2023,63.4,4107421
1/20/2023,63.55,4511944
1/21/2023,,
1/22/2023,,
1/23/2023,,
1/24/2023,,
1/25/2023,,
1/26/2023,63.8,5499915
1/27/2023,63.95,4693310
1/28/2023,,
1/29/2023,,
1/30/2023,64.3,6217879
1/31/2023,62.7,8072113
2/1/2023,62.9,4657826
2/2/2023,64.3,6851834
2/3/2023,64.65,4500190
2/4/2023,,
2/5/2023,,
2/6/2023,62.9,4952103
2/7/2023,62.6,3179065
2/8/2023,63.5,3765036
2/9/2023,62.8,3666340
2/10/2023,62.8,NA
2/11/2023,,
2/12/2023,,
2/13/2023,54.75,50234120
2/14/2023,54,19720560
2/15/2023,53.8,13369730
2/16/2023,53.75,13019690
2/17/2023,53.05,9965221
2/18/2023,,
2/19/2023,,
2/20/2023,52.35,10935400
2/21/2023,52.75,8546315
2/22/2023,53.2,9650202
2/23/2023,53.2,11451990
2/24/2023,50.1,18090810
2/25/2023,,
2/26/2023,,
2/27/2023,50.85,8557150
2/28/2023,51.6,11990170
3/1/2023,51.8,9149708
3/2/2023,51.15,4467719
3/3/2023,50.7,7668127
3/4/2023,,
3/5/2023,,
3/6/2023,50.9,7119929
3/7/2023,50,10701700
3/8/2023,48.8,12482600
3/9/2023,48,13806730
3/10/2023,47.5,14993000
3/11/2023,,
3/12/2023,,
3/13/2023,48.7,20658160
3/14/2023,48.65,14902140
3/15/2023,48.5,15137460
3/16/2023,49.7,16240910
3/17/2023,50.1,11133210
3/18/2023,,
3/19/2023,,
3/20/2023,49.65,10222680
3/21/2023,49.4,7810138
3/22/2023,50,8581491
3/23/2023,50.1,9806183
3/24/2023,50.1,4385569
3/25/2023,,
3/26/2023,,
3/27/2023,50.35,7116668
3/28/2023,50.05,9725733
3/29/2023,49.85,10265100
3/30/2023,50.4,10299240
3/31/2023,50.5,10165580
4/1/2023,,
4/2/2023,,
4/3/2023,50.8,10991760
4/4/2023,50.65,7123402
4/5/2023,,
4/6/2023,50.9,5280807
4/7/2023,,
4/8/2023,,
4/9/2023,,
4/10/2023,,
4/11/2023,51.05,7930852
4/12/2023,51.6,6023792
4/13/2023,51.55,4763543
4/14/2023,51.45,3675282
4/15/2023,,
4/16/2023,,
4/17/2023,51.55,6998248
4/18/2023,51.7,5479791
4/19/2023,51.35,7210163
4/20/2023,50.65,7390483
4/21/2023,50.55,6491007
4/22/2023,,
4/23/2023,,
4/24/2023,50.4,7555690
4/25/2023,50,7224117
4/26/2023,50.55,7701756
4/27/2023,51,4208115
4/28/2023,51.2,6433956
4/29/2023,,
4/30/2023,,
5/1/2023,,
5/2/2023,50.8,6940310
5/3/2023,50.75,5966324
5/4/2023,51.25,4658422
5/5/2023,51.55,4053934
5/6/2023,,
5/7/2023,,
5/8/2023,52.05,5191754
5/9/2023,50.65,8380991
5/10/2023,50.25,5294150
5/11/2023,50,7371358
5/12/2023,49.55,5604020
5/13/2023,,
5/14/2023,,
5/15/2023,50.5,4662453
5/16/2023,50.7,3617104
5/17/2023,50.05,6574932
5/18/2023,49.75,5486546
5/19/2023,49.7,4905493
5/20/2023,,
5/21/2023,,
5/22/2023,49.4,4447256
5/23/2023,49.3,4754893
5/24/2023,49.2,3975990
5/25/2023,48.55,4355020
5/26/2023,,
5/27/2023,,
5/28/2023,,
5/29/2023,47.7,6667690
5/30/2023,47.3,5466294
5/31/2023,45.5,24915400
6/1/2023,45.8,14049330
6/2/2023,47.15,8106287
6/3/2023,,
6/4/2023,,
6/5/2023,48.1,5750967
6/6/2023,47.65,4689869
6/7/2023,47.3,4259212
6/8/2023,46.8,9201198
6/9/2023,47.3,4950165
6/10/2023,,
6/11/2023,,
6/12/2023,47.4,3865457
6/13/2023,47.2,4886298
6/14/2023,46.75,6666482
6/15/2023,45.35,8033306
6/16/2023,46.25,12930990
6/17/2023,,
6/18/2023,,
6/19/2023,46.4,4550950
6/20/2023,46.05,3900313
6/21/2023,45.25,6361306
6/22/2023,,
6/23/2023,44.1,11124610
6/24/2023,,
6/25/2023,,
6/26/2023,43.6,7888423
6/27/2023,44.1,3549352
6/28/2023,44.2,3068643
6/29/2023,43.65,4421714
6/30/2023,43.5,6229627
7/1/2023,,
7/2/2023,,
7/3/2023,44.1,4419879
7/4/2023,44.35,3482239
7/5/2023,43.65,5714918
7/6/2023,43.25,9985188
7/7/2023,41.95,8662048
7/8/2023,,
7/9/2023,,
7/10/2023,42,4391527
7/11/2023,42.3,4562844
7/12/2023,42.45,5243660
7/13/2023,43.65,11530440
7/14/2023,43.75,5862273
7/15/2023,,
7/16/2023,,
7/17/2023,,
7/18/2023,43.15,3633088
7/19/2023,43.15,4318017
7/20/2023,43.9,5752111
7/21/2023,44.15,5419313
7/22/2023,,
7/23/2023,,
7/24/2023,43.2,4427566
7/25/2023,43.75,5089274
7/26/2023,44.05,3987333
7/27/2023,44.85,5449408
7/28/2023,44.1,6923722
7/29/2023,,
7/30/2023,,
7/31/2023,43.65,9757081
8/1/2023,43.2,5106480
8/2/2023,42.5,7494142
8/3/2023,42.3,5199747
8/4/2023,42,5701507
8/5/2023,,
8/6/2023,,
8/7/2023,42.35,2720859
8/8/2023,41.8,4272501
8/9/2023,41.3,7455773
8/10/2023,40.5,9487521
8/11/2023,39.7,11643090
8/12/2023,,
8/13/2023,,
8/14/2023,38.35,15095020
8/15/2023,38.65,8700654
8/16/2023,39.1,7999008
8/17/2023,39.25,8522628
8/18/2023,38.3,8222807
8/19/2023,,
8/20/2023,,
8/21/2023,37.9,7057651
8/22/2023,37.65,4434267
8/23/2023,37.4,4749754
8/24/2023,38.75,6580606
8/25/2023,38.5,6348097
8/26/2023,,
8/27/2023,,
8/28/2023,38.15,3158915
8/29/2023,38.65,4671925
8/30/2023,39.55,7157779
8/31/2023,38.9,10908620
9/1/2023,,
9/2/2023,,
9/3/2023,,
9/4/2023,39.65,7925465
9/5/2023,38.9,4403682
9/6/2023,38.75,3562891
9/7/2023,38.55,5683855
9/8/2023,,
9/9/2023,,
9/10/2023,,
9/11/2023,37.75,8772821
9/12/2023,37.6,5678645
9/13/2023,38.1,4860704
9/14/2023,37.3,10784490
9/15/2023,37.85,10075220
9/16/2023,,
9/17/2023,,
9/18/2023,37.45,4815897
9/19/2023,37.6,5860015
9/20/2023,37.8,3505306
9/21/2023,36.8,7634556
9/22/2023,38,7551692
9/23/2023,,
9/24/2023,,
9/25/2023,37.3,6267469
9/26/2023,36.8,5458266
9/27/2023,36.65,5004372
9/28/2023,36.95,7888711
9/29/2023,38.4,12035010
9/30/2023,,
10/1/2023,,
10/2/2023,,
10/3/2023,36.15,13623030
10/4/2023,36.55,8021599
10/5/2023,36.65,3794510
10/6/2023,37.2,5584062
10/7/2023,,
10/8/2023,,
10/9/2023,36.9,3234218
10/10/2023,37.5,4754365
10/11/2023,37.7,5949144
10/12/2023,38.25,4521634
10/13/2023,37.1,6048586
10/14/2023,,
10/15/2023,,
10/16/2023,36.85,3699258
10/17/2023,37.4,4556526
10/18/2023,37,3472843
10/19/2023,35.95,5612642
10/20/2023,35.45,6647080
10/21/2023,,
10/22/2023,,
10/23/2023,,
10/24/2023,35.6,5720161
10/25/2023,35.9,5721496
10/26/2023,35.6,5175362
10/27/2023,36.1,5556450
10/28/2023,,
10/29/2023,,
10/30/2023,36.4,4008540
10/31/2023,35.9,5538807
11/1/2023,35.85,5918862
11/2/2023,38.25,15115190
11/3/2023,39.7,13917700
11/4/2023,,
11/5/2023,,
11/6/2023,39.5,8679329
11/7/2023,37.9,10921800
11/8/2023,38.4,9483019
11/9/2023,39.5,10726590
11/10/2023,38.55,8519835
11/11/2023,,
11/12/2023,,
11/13/2023,38.15,7210283
11/14/2023,38.75,5993267
11/15/2023,40.95,16969550
11/16/2023,40.35,8935603
11/17/2023,39.85,7490900
11/18/2023,,
11/19/2023,,
11/20/2023,38.8,7572485
11/21/2023,39.7,14707490
11/22/2023,40,8452610
11/23/2023,40.3,8524208
11/24/2023,39.8,5022097
11/25/2023,,
11/26/2023,,
11/27/2023,39.3,4893807
11/28/2023,38.85,9653427
11/29/2023,38.9,8234145
11/30/2023,38.6,22312470
12/1/2023,38.5,8838611
12/2/2023,,
12/3/2023,,
12/4/2023,38.6,8279622
12/5/2023,37.75,8725468
12/6/2023,38.2,10270610
12/7/2023,37.75,5402987
12/8/2023,37.9,4269983
12/9/2023,,
12/10/2023,,
12/11/2023,38.25,5715001
12/12/2023,38.45,4498684
12/13/2023,38.5,6073290
12/14/2023,40.3,29019560
12/15/2023,42,24954500
12/16/2023,,
12/17/2023,,
12/18/2023,41.85,12066570
12/19/2023,42.55,16190800
12/20/2023,42.55,10058550
12/21/2023,43.4,14938430
12/22/2023,43.2,10523130
12/23/2023,,
12/24/2023,,
12/25/2023,,
12/26/2023,,
12/27/2023,43.55,7161693
12/28/2023,43.85,5223083
12/29/2023,43.85,5787842
12/30/2023,,
12/31/2023,,
1/1/2024,,
1/2/2024,43.75,4529258
1/3/2024,43.5,5083097
1/4/2024,42.9,7351565
1/5/2024,43.25,4973068
1/6/2024,,
1/7/2024,,
1/8/2024,42.55,5459068
1/9/2024,42.75,8446575
1/10/2024,42.5,5205171
1/11/2024,42.55,5374175
1/12/2024,42.65,7935977
1/13/2024,,
1/14/2024,,
1/15/2024,42.6,3209596
1/16/2024,42.3,8337238
1/17/2024,40.35,18675490
1/18/2024,40.75,12547050
1/19/2024,40.45,9872589
1/20/2024,,
1/21/2024,,
1/22/2024,38.9,13431530
1/23/2024,39.15,14332710
1/24/2024,39.6,9224543
1/25/2024,39.2,9750790
1/26/2024,39.4,6549384
1/27/2024,,
1/28/2024,,
1/29/2024,39.05,8297238
1/30/2024,39.4,8653903
1/31/2024,39.2,11373650
2/1/2024,39.55,8211038
2/2/2024,39.8,11673940
2/3/2024,,
2/4/2024,,
2/5/2024,39.3,5945097
2/6/2024,39.4,6921707
2/7/2024,39.5,5135422
2/8/2024,38.4,7178151
2/9/2024,38.3,5039118
2/10/2024,,
2/11/2024,,
2/12/2024,,
2/13/2024,,
2/14/2024,37.35,16380680
2/15/2024,38,7295204
2/16/2024,38.6,8564518
2/17/2024,,
2/18/2024,,
2/19/2024,37.8,8907226
2/20/2024,38,5470448
2/21/2024,38.25,7714866
2/22/2024,38.4,7583238
2/23/2024,38.5,4731431
2/24/2024,,
2/25/2024,,
2/26/2024,38.7,5896317
2/27/2024,38.25,7777116
2/28/2024,39,14236710
2/29/2024,38.95,13053950
3/1/2024,38.05,10558130
3/2/2024,,
3/3/2024,,
3/4/2024,37.75,8289189
3/5/2024,36.65,11729230
3/6/2024,36.6,8284474
3/7/2024,36.6,8358414
3/8/2024,36.7,5860526
3/9/2024,,
3/10/2024,,
3/11/2024,36.95,7065106
3/12/2024,37.55,14207880
3/13/2024,36.9,8543261
3/14/2024,37.15,5468913
3/15/2024,36.55,12686930
3/16/2024,,
3/17/2024,,
3/18/2024,36.2,5594885
3/19/2024,35.75,7724027
3/20/2024,35.4,5303421
3/21/2024,35.9,7847995
3/22/2024,34.7,14496040
3/23/2024,,
3/24/2024,,
3/25/2024,34.4,9027519
3/26/2024,33.85,22298590
3/27/2024,34.3,11264130
3/28/2024,33.65,12074430
3/29/2024,,
3/30/2024,,
3/31/2024,,
4/1/2024,,
4/2/2024,33.4,13457280
4/3/2024,33.95,10470960
4/4/2024,,
4/5/2024,33.95,11695050
4/6/2024,,
4/7/2024,,
4/8/2024,34.55,9464940
4/9/2024,34.4,4489520
4/10/2024,34.4,6531515
4/11/2024,33.35,16734210
4/12/2024,32.2,16240730
4/13/2024,,
4/14/2024,,
4/15/2024,32.25,6461087
4/16/2024,31.25,12631000
4/17/2024,31.05,10935510
4/18/2024,30.95,9000838
4/19/2024,30.85,8604473
4/20/2024,,
4/21/2024,,
4/22/2024,31.65,9634696
4/23/2024,32.95,15052380
4/24/2024,33.85,14011950
4/25/2024,33.9,10442210
4/26/2024,33.9,12157560
4/27/2024,,
4/28/2024,,
4/29/2024,33.8,11526940
4/30/2024,33.85,6706761
5/1/2024,,
5/2/2024,34.05,6903883
5/3/2024,34.2,7539074
5/4/2024,,
5/5/2024,,
5/6/2024,34.6,7619956
5/7/2024,34.85,4227712
5/8/2024,34.65,10008670
5/9/2024,34.8,5082183
5/10/2024,35.4,7879258
5/11/2024,,
5/12/2024,,
5/13/2024,36.2,13874960
5/14/2024,36.1,10035590
5/15/2024,,
5/16/2024,36.45,15438450
5/17/2024,36.45,9828317
5/18/2024,,
5/19/2024,,
5/20/2024,37.4,13142560
5/21/2024,36.35,8652821
5/22/2024,34.75,21265490
5/23/2024,33.5,19336420
5/24/2024,33.2,9060347
5/25/2024,,
5/26/2024,,
5/27/2024,33.3,4758708
5/28/2024,33.45,7769588
5/29/2024,34.7,25931610
5/30/2024,33.95,16904810
5/31/2024,32.8,21803830
6/1/2024,,
6/2/2024,,
6/3/2024,33.85,16860650
6/4/2024,33.95,8983611
6/5/2024,34,8152286
6/6/2024,34.1,6279791
6/7/2024,33.9,6948183
6/8/2024,,
6/9/2024,,
6/10/2024,,
6/11/2024,32.4,18188420
6/12/2024,32.25,8294499
6/13/2024,32.65,4830110
6/14/2024,32.6,5069291
6/15/2024,,
6/16/2024,,
6/17/2024,32.45,3776784
6/18/2024,32.2,5489860
6/19/2024,32.7,5798575
6/20/2024,32.35,5111663
6/21/2024,31.85,16642560
6/22/2024,,
6/23/2024,,
6/24/2024,31.7,9693934
6/25/2024,31.55,10572600
6/26/2024,31.95,7636989
6/27/2024,30,11875750
6/28/2024,30.35,6129228
6/29/2024,,
6/30/2024,,
7/1/2024,,
7/2/2024,29.9,9588577
7/3/2024,30.4,8401482
7/4/2024,30.65,3765770
7/5/2024,30.5,8331232
7/6/2024,,
7/7/2024,,
7/8/2024,30.1,6383293
7/9/2024,30.1,6267145
7/10/2024,30.05,5009985
7/11/2024,31.1,8757998
7/12/2024,33.1,20349270
7/13/2024,,
7/14/2024,,
7/15/2024,33,10477780
7/16/2024,32.5,9829314
7/17/2024,32.75,6044313
7/18/2024,32.7,8888090
7/19/2024,32.15,10111570
7/20/2024,,
7/21/2024,,
7/22/2024,32.25,5785323
7/23/2024,32.1,5134625
7/24/2024,32.15,4381591
7/25/2024,32.5,12778150
7/26/2024,32.5,17364550
7/27/2024,,
7/28/2024,,
7/29/2024,33.05,17111400
7/30/2024,32.75,9744520
7/31/2024,33,10644590
8/1/2024,34.1,13629380
8/2/2024,33.55,9240544
8/3/2024,,
8/4/2024,,
8/5/2024,34.3,30036450
8/6/2024,34.55,14426840
8/7/2024,34.75,6848415
8/8/2024,34.9,8524684
8/9/2024,35.05,6339824
8/10/2024,,
8/11/2024,,
8/12/2024,34.85,7388082
8/13/2024,34.9,5666626
8/14/2024,35,7073803
8/15/2024,35.05,6653316
8/16/2024,34.75,5726083
8/17/2024,,
8/18/2024,,
8/19/2024,34.85,7372515
8/20/2024,34.8,8208329
8/21/2024,34.7,7817150
8/22/2024,35,4653845
8/23/2024,35.05,3627728
8/24/2024,,
8/25/2024,,
8/26/2024,36.45,13317510
8/27/2024,36.65,9395128
8/28/2024,36.5,5680762
8/29/2024,36.8,7216351
8/30/2024,36.9,14911520
8/31/2024,,
9/1/2024,,
9/2/2024,36.75,7089096
9/3/2024,36.35,6622103
9/4/2024,35.9,6858943
9/5/2024,37.2,9677321
9/6/2024,,
9/7/2024,,
9/8/2024,,
9/9/2024,37.25,9371048
9/10/2024,37.25,9172670
9/11/2024,37.2,4717173
9/12/2024,37.5,4375827
9/13/2024,37.8,6076400
9/14/2024,,
9/15/2024,,
9/16/2024,38.2,6404441
9/17/2024,38.8,11058230
9/18/2024,,
9/19/2024,38.85,12939600
9/20/2024,39.3,20688830
9/21/2024,,
9/22/2024,,
9/23/2024,39,8777299
9/24/2024,38.4,13815050
9/25/2024,38.85,11882270
9/26/2024,38.85,10696840
9/27/2024,39.85,19458090
9/28/2024,,
9/29/2024,,
9/30/2024,39.25,17970870
10/1/2024,,
10/2/2024,40.35,35720810
10/3/2024,39.15,18537210
10/4/2024,39.45,14302540
10/5/2024,,
10/6/2024,,
10/7/2024,39.15,21085910
10/8/2024,37.75,20062660
10/9/2024,37.7,12359490
10/10/2024,38.4,10935000
10/11/2024,,
10/12/2024,,
10/13/2024,,
10/14/2024,38.45,9406860
10/15/2024,37.75,10041800
10/16/2024,38,6978102
10/17/2024,37.9,7380542
10/18/2024,38.25,6143554
10/19/2024,,
10/20/2024,,
10/21/2024,38.15,3512863
10/22/2024,37.55,11650070
10/23/2024,37.2,6539163
10/24/2024,36.65,9985010
10/25/2024,36.85,7687797
10/26/2024,,
10/27/2024,,
10/28/2024,36.8,4338140
10/29/2024,36.9,4570431
10/30/2024,36.6,6849638
10/31/2024,36.25,10007160
11/1/2024,36.4,9017294
11/2/2024,,
11/3/2024,,
11/4/2024,36.6,7120109
11/5/2024,37.15,8073405
11/6/2024,38.05,18465490
11/7/2024,36.45,24225280
11/8/2024,36.4,8817303
11/9/2024,,
11/10/2024,,
11/11/2024,36.4,7354847
11/12/2024,36.35,8824297
11/13/2024,36,8865060
11/14/2024,35.5,8841355
11/15/2024,35.15,13095610
11/16/2024,,
11/17/2024,,
11/18/2024,33.7,5660614
11/19/2024,33.45,5669076
11/20/2024,33.8,6730068
11/21/2024,33.5,4855280
11/22/2024,32.95,8538401
11/23/2024,,
11/24/2024,,
11/25/2024,33.35,11221430
11/26/2024,33.7,12756480
11/27/2024,33.95,8004852
11/28/2024,33.6,6244304
11/29/2024,33.85,10273550
11/30/2024,,
12/1/2024,,
12/2/2024,34.25,10486930
12/3/2024,34.3,5275327
12/4/2024,34.35,6321502
12/5/2024,34.1,5627353
12/6/2024,34.1,6228540
12/7/2024,,
12/8/2024,,
12/9/2024,34.5,10484680
12/10/2024,34.25,9973161
12/11/2024,33.9,9839612
12/12/2024,33.7,9495324
12/13/2024,33.65,7533327
12/14/2024,,
12/15/2024,,
12/16/2024,33.7,7722576
12/17/2024,33.15,9414762
12/18/2024,33.3,8410188
12/19/2024,32.5,16360850
12/20/2024,32.15,12718990
12/21/2024,,
12/22/2024,,
12/23/2024,32.6,6060390
12/24/2024,32.85,5134600
12/25/2024,,
12/26/2024,,
12/27/2024,32.9,4974836
12/28/2024,,
12/29/2024,,
12/30/2024,32.75,4625491
12/31/2024,32.85,6109282
1/1/2025,,
1/2/2025,32.8,8424905
1/3/2025,33.1,6874445
1/4/2025,,
1/5/2025,,
1/6/2025,33.05,6359125
1/7/2025,32.8,7324774
1/8/2025,32.35,8489921
1/9/2025,32.2,6286112
1/10/2025,32.1,5107424
1/11/2025,,
1/12/2025,,
1/13/2025,31.4,11944960
1/14/2025,31.5,8180548
1/15/2025,31.3,7212208
1/16/2025,32,7627708
1/17/2025,32.45,9369449
1/18/2025,,
1/19/2025,,
1/20/2025,32.9,12450290
1/21/2025,32.8,8248325
1/22/2025,32.3,6470389
1/23/2025,31.9,9249656
1/24/2025,32,10563910
1/25/2025,,
1/26/2025,,
1/27/2025,32,18109310
1/28/2025,32.1,4785576
1/29/2025,,
1/30/2025,,
1/31/2025,,
2/1/2025,,
2/2/2025,,
2/3/2025,32.1,11726010
2/4/2025,32.25,13906900
2/5/2025,32,6839995
2/6/2025,33.5,18622030
2/7/2025,34.1,18369050
2/8/2025,,
2/9/2025,,
2/10/2025,34.15,11617980
2/11/2025,33.6,8383320
2/12/2025,34.1,12026970
2/13/2025,33.95,12234560
2/14/2025,34.5,11470590
2/15/2025,,
2/16/2025,,
2/17/2025,34.7,9116473
2/18/2025,34.7,5782884
2/19/2025,34.85,13021080
2/20/2025,34.7,7918578
2/21/2025,35.2,11239200
2/22/2025,,
2/23/2025,,
2/24/2025,35.25,13182990
2/25/2025,35.4,8495726
2/26/2025,35.65,11915990
2/27/2025,35.8,8595171
2/28/2025,35.25,14241000
3/1/2025,,
3/2/2025,,
3/3/2025,35,10439300
3/4/2025,35,9646765
3/5/2025,36.45,18422710
3/6/2025,36.35,10838550
3/7/2025,36.1,14453150
3/8/2025,,
3/9/2025,,
3/10/2025,35.9,14816850
3/11/2025,36.6,14649360
3/12/2025,36.85,16840770
3/13/2025,37.1,18919410
3/14/2025,36.85,9116666
3/15/2025,,
3/16/2025,,
3/17/2025,36.75,4643656
3/18/2025,37.2,7079411
3/19/2025,37.5,8866724
3/20/2025,37.4,9391771
3/21/2025,37.1,13177130
3/22/2025,,
3/23/2025,,
3/24/2025,37.25,13564260
3/25/2025,37.65,12659640
3/26/2025,36.85,11964190
3/27/2025,36.7,5096534
3/28/2025,36.55,7061904
3/29/2025,,
3/30/2025,,
3/31/2025,36.4,8062515
4/1/2025,36.95,10214170
4/2/2025,37,8020786
4/3/2025,36.95,11994770
4/4/2025,,
4/5/2025,,
4/6/2025,,
4/7/2025,34.2,30793150
4/8/2025,33.8,21725680
4/9/2025,33.25,17057820
4/10/2025,33.7,16409060
4/11/2025,33.3,16365030
4/12/2025,,
4/13/2025,,
4/14/2025,34.05,13924270
4/15/2025,34,8865173
4/16/2025,34.35,9624341
4/17/2025,34.95,9275895
4/18/2025,,
4/19/2025,,
4/20/2025,,
4/21/2025,,
4/22/2025,34.9,5915987
4/23/2025,35.75,8836138
4/24/2025,35.6,5375479
4/25/2025,35.7,6814876
4/26/2025,,
4/27/2025,,
4/28/2025,35.8,4995261
4/29/2025,35.95,7484166
4/30/2025,36.35,8967487
5/1/2025,,
5/2/2025,36.9,6687306
5/3/2025,,
5/4/2025,,
5/5/2025,,
5/6/2025,37.45,9804625
5/7/2025,39.95,39347120
5/8/2025,39.6,17149780
5/9/2025,40.5,17939410
5/10/2025,,
5/11/2025,,
5/12/2025,41.15,13201370
5/13/2025,41,10415950
5/14/2025,40.45,11507560
5/15/2025,39.8,12947780
5/16/2025,39.85,7465005
5/17/2025,,
5/18/2025,,
5/19/2025,40.2,5381287
5/20/2025,40.95,7848773
5/21/2025,40.95,10098450
5/22/2025,40,11532680
5/23/2025,40.1,6957701
5/24/2025,,
5/25/2025,,
5/26/2025,40.85,10209960
5/27/2025,40.9,18672270
5/28/2025,41.2,11197670
5/29/2025,41.2,13314240
5/30/2025,41.65,11135640
5/31/2025,,
6/1/2025,,
6/2/2025,41.15,11585270
6/3/2025,41.45,8581577
6/4/2025,40.9,13897080
6/5/2025,41.3,6869115
6/6/2025,41.75,17218660
6/7/2025,,
6/8/2025,,
6/9/2025,41.9,8085738
6/10/2025,41.9,5798606
6/11/2025,42,6025431
6/12/2025,42,10800470
6/13/2025,42.05,7904496
6/14/2025,,
6/15/2025,,
6/16/2025,42.05,6205831
6/17/2025,42.2,9300975
6/18/2025,41.15,14885840
6/19/2025,41.05,9047371
6/20/2025,41.55,9702733
6/21/2025,,
6/22/2025,,
6/23/2025,42.8,12103090
6/24/2025,42.9,9360245
6/25/2025,43.65,14120530
6/26/2025,42.55,12572540
6/27/2025,42.5,7436021
6/28/2025,,
6/29/2025,,
6/30/2025,41.9,9779918
7/1/2025,,
7/2/2025,42.2,12666430
7/3/2025,43.1,10136200
7/4/2025,42.85,7814385
7/5/2025,,
7/6/2025,,
7/7/2025,42.6,5409616
7/8/2025,42.4,7388850
7/9/2025,42.5,10702840
7/10/2025,42.4,5138288
7/11/2025,42.15,7348200
7/12/2025,,
7/13/2025,,
7/14/2025,42.2,7295718
7/15/2025,42.5,7615955
7/16/2025,42.1,8105355
7/17/2025,42.25,6698779
7/18/2025,42.3,6175820
7/19/2025,,
7/20/2025,,
7/21/2025,42.55,6442542
7/22/2025,43.35,11252450
7/23/2025,43.15,7111378
7/24/2025,43.65,8413029
7/25/2025,43.65,7053584
7/26/2025,,
7/27/2025,,
7/28/2025,44.4,7251532
7/29/2025,44.5,5977583
7/30/2025,44.4,5635843
7/31/2025,43.9,7220830
8/1/2025,42.9,10860930
8/2/2025,,
8/3/2025,,
8/4/2025,43.32,6458684
8/5/2025,43.6,6745222
8/6/2025,43.7,5646633
8/7/2025,44.18,7478327
8/8/2025,44,5778280
8/9/2025,,
8/10/2025,,
8/11/2025,44.26,4028815
8/12/2025,43.92,7211584
8/13/2025,44.6,9651764
8/14/2025,42.78,23631300
8/15/2025,42.12,16585880
8/16/2025,,
8/17/2025,,
8/18/2025,41.18,17197760
8/19/2025,41.44,12969000
8/20/2025,41.88,8506418
8/21/2025,42.06,4866757
8/22/2025,42.28,7331249
8/23/2025,,
8/24/2025,,
8/25/2025,42.44,6624131
8/26/2025,41.72,10002690
8/27/2025,41.26,9454742
8/28/2025,41.56,5600041
8/29/2025,41.44,4473468
8/30/2025,,
8/31/2025,,
9/1/2025,41.62,3301789
9/2/2025,41.28,5437301
9/3/2025,41.1,7740108
9/4/2025,40.94,8932008
9/5/2025,41.5,9741838
9/6/2025,,
9/7/2025,,
9/8/2025,41.7,4182857
9/9/2025,41.84,6274575
9/10/2025,41.96,10735400
9/11/2025,41.88,6760410
9/12/2025,42.34,11773240
9/13/2025,,
9/14/2025,,
9/15/2025,42.02,13744950
9/16/2025,41.8,9559538
9/17/2025,41.54,15146970
9/18/2025,41.28,10046210
9/19/2025,40.8,23093650
9/20/2025,,
9/21/2025,,
9/22/2025,40.38,12433820
9/23/2025,40.2,9160800
9/24/2025,40.06,9815806
