,k_tb,call_option_tb,profit_loss_tb
0,99.78604514642844,0.0,0.1786232664284313
1,99.28604514642844,0.32843193638008966,0.507055202808516
2,98.78604514642844,0.8283964067001729,1.0070196731286103
3,98.28604514642844,1.328360877020256,1.5069841434486904
4,97.78604514642844,1.8283253473403394,2.0069486137687704
5,97.28604514642844,2.3282898176604223,2.5069130840888505
6,96.78604514642844,2.8282542879805055,3.0068775544089306
7,96.28604514642844,3.3282187583005887,3.506842024729025
8,95.78604514642844,3.8281832286206723,4.006806495049105
9,95.28604514642844,4.3281476989407555,4.506770965369185
